           Persona      |S/F |PP |Res. Fecha                          | Res. P/S   | Res. Nro.   |  OI  |                Lugar Destino       |    Evento Destino     | Mision Días | Mision Inicio | Mision Fin   | Pasaje U$S | Seg. Viaj. U$S | Viático U$S | Devolución U$S |  Fecha Informe |Informe U$S | Total del viaje U$S  |      Observaciones
Da Rosa, Eber           |Sen |N  |05/11/10                            | Sec   |     117/10       |  OTR |Bs. As., Argentina                  | VI Foro Parl. Iberoam. "Educación: factor de inclusión social"  | 4  |  10/11/10 |   13/11/10 |    240,00    |  47,50 | 1.270,00  |          | 17/11/10  |  1.270,00    | 1.557,50
Da Rosa, Eber           |Sen |N  |15/11/10                            | Sec   |    124/2010      |  OTR |República de Corea del Sur          | Visita Oficial a la República de Corea del Sur                  | 9  |  20/11/10 |   28/11/10 |  2.553,00    |  86,00 | 1.170,00  |          | 07/12/10  |  1.170,00    | 3.809,00
Desalvo, María Celia    |Fun | - |07/06/10                            | Sec   |     35/2010      |  OTR |La Antigua - Rep. de Guatemala      | Curso "Estado Democrático y Control Parlamentario"              | 8  |  27/06/10 |   04/07/10 |  1.094,00    |  76,00 |   638,00  |          | 09/07/10  |    638,00    | 1.808,00
Di Salvatore, Caterina  |Fun | - |12/08/11                            | Sec   |    230/2011      |  OTR |Washington, EEUU                    | 18a. Reunión Anual de Directores del GLIN                       | 7  |  05/09/11 |   11/09/11 |  1.230,00    |  77,00 | 1.820,00  |    45,00 | 07/11/11  |    1.775,00  |   3.082,00
Echeverry, Roberto      |Otr | - |13/05/10                            | Sec   |     19/2010      |  OTR |Madrid, España                      | VI Cumbre de Amér. Latina y el Caribe - Unión Europea           | 4  |  16/05/10 |   19/05/10 |  2.263,00    |  32,00 | 1.344,00  |    27,00 | 01/06/10  |    1.317,00  |   3.612,00
Echeverry, Roberto      |Otr | - |10/02/11                            | Sec   |    144/2011      |  OTR |Mumbai, República de la India       | Visita Oficial                                                  | 10 |  18/02/11 |   27/02/11 |  4.230,00    |  80,00 | 3.330,00  |          | 17/03/11  |  3.330,00    | 7.640,00
Gallo, Luis             |Sen |FA |13/05/10                            | Sec   |     20/2010      |  PAR |Guatemala, Rep. de Guatemala        | XIII Reunión de la Com. de Salud del Parl. Latinoamer.          | 6  |  19/05/10 |   24/05/10 |  1.515,00    |  57,00 | 1.440,00  |          | 22/07/10  |  1.440,00    | 3.012,00
Gallo, Luis             |Sen |FA |04/05/11                            | Sec   |    180/2011      |  PAR |La Habana, Cuba                     | Reunión de la Comisión de Salud del Parl. Latinoamericano       | 4  |  24/05/11 |   27/05/11 |  1.065,00    | 113,00 |   910,00  |    20,00 | 02/06/11  |      890,00  |   2.068,00
Galvalisi, Carina       |Otr | - | Nota del Sec. Rodríguez Filippini  |       |                  |  UIP |Bangkok - Tailandia                 | 122a. Asamblea de la Unión Interparlamentaria                   | 13 |  22/03/10 |   03/04/10 |  3.997,50    |  52,00 | 1.642,50  |          | 16/04/10  |  1.642,50    | 5.692,00        |  Reintegrado a CRR
Galvalisi, Carina       |Otr | - | Nota del Sec. Rodríguez Filippini  |       |                  |  OTR |Ginebra, Suiza                      | 123a. Asamblea de la Unión Interparlamentaria                   | 8  |  01/10/10 |   09/10/10 |  1.245,00    |  36,00 | 1.490,00  |          |           |              | 2.771,00        |  Reintegrado a CRR
Gancedo, Gerardo        |Otr | - |12/05/10                            | Sec   |     18/2010      |  OTR |Asunción, Paraguay                  | 199o. Aniversario de la Indep. Nacional del Paraguay            | 3  |  13/05/10 |   15/05/10 |    295,00    |  24,00 |   570,00  |    11,00 | 24/05/10  |      559,00  |     878,00
Gancedo, Gerardo        |Otr | - |17/08/10                            | Sec   |     64/2010      |  OTR |Shanghai y Beijing, Rep. Pop. China | Visita Oficial del Vicepresidente de la República               | 10 |  20/08/10 |   29/08/10 |              |  80,00 | 2.520,00  |    42,00 | 10/09/10  |    2.478,00  |   2.558,00
Gancedo, Gerardo        |Otr | - |15/09/11                            | Sec   |    255/2011      |  OTR |Nueva York, EEUU                    | Asamblea General de Naciones Unidas                             | 8  |  20/09/11 |   27/09/11 |              |  80,00 |           |          |           |              |    80,00
Garcé, Alvaro           |Otr | - | Nota del Sec. Rodríguez Filippini  |       |                  |  PAR |Asunción, Paraguay                  | Comisión de Derechos Humanos del Parlatino                      | 4  |  29/09/10 |   02/10/10 |    160,00    |  25,00 |   380,00  |          |           |              |   565,00        |  Reintegrado a CRR
Heber, Luis A           |Sen |N  |16/03/10                            | Sec   |   06-07/2010     |  UIP |Bangkok - Tailandia                 | 122a. Asamblea de la Unión Interparlamentaria                   | 10 |  22/03/10 |   31/03/10 |  8.795,00    |  80,00 | 3.158,00  |     0,00 | 15/04/10  |    3.248,00  | 12.033,00
Heber, Luis A           |Sen |N  |21/05/10                            | Sec   |     29/2010      |  PAR |Ciudad de México,, México           | VI Seminario del Foro Parlamentario Interamericano              | 5  |  26/05/10 |   30/05/10 |              |  40,00 |           |          |           |              |    40,00
Heber, Luis A           |Sen |N  |17/06/10                            | Sec   |     40/2010      |  OTR |Ginebra - Suiza                     | 21a. Sesión Com. Dir. De la Confer. Parlam. de la OMC           | 6  |  22/06/10 |   27/06/10 |  2.025,00    |  48,00 | 2.729,00  |    29,00 | 06/06/10  |  2.700,00    | 4.773,00
